Country 1,Country 2,Trade Value
Colombia,Australia and New Zealand,71.668
Colombia,Japan,557.357
Colombia,United States of America,11012.215
Colombia,Brazil,1363.481
Colombia,Mexico,1536.662
Colombia,India,279.64
Singapore,Australia and New Zealand,11805.011
Singapore,Japan,17056.688
Singapore,United States of America,24183.045
Singapore,Brazil,1208.521
Singapore,Mexico,1280.826
Singapore,India,11017.887
Australia and New Zealand,Australia and New Zealand,13047.754
Australia and New Zealand,Japan,48943.164945
Australia and New Zealand,United States of America,13082.691043
Australia and New Zealand,Brazil,1189.568
Australia and New Zealand,Mexico,386.361
Australia and New Zealand,India,11239.581
Japan,Australia and New Zealand,18473.37
Japan,United States of America,135059.633
Japan,Brazil,3393.387
Japan,Mexico,11269.197
Japan,India,8850.845
Philippines,Australia and New Zealand,509.028167
Philippines,Japan,10856.508034
Philippines,United States of America,9669.665587
Philippines,Brazil,127.451352
Philippines,Mexico,626.731508
Philippines,India,576.737072
United States of America,Australia and New Zealand,28284.595388
United States of America,Japan,67717.390161
United States of America,Brazil,37295.404598
United States of America,Mexico,243789.370664
United States of America,India,25747.83047
Canada,Australia and New Zealand,1925.212619
Canada,Japan,9128.282855
Canada,United States of America,319958.581291
Canada,Brazil,1321.880716
Canada,Mexico,6058.446462
Canada,India,3225.847216
Brazil,Australia and New Zealand,548.24
Brazil,Japan,5263.291
Brazil,United States of America,27147.723
Brazil,Mexico,4514.103
Brazil,India,4657.329
Mexico,Australia and New Zealand,1303.036
Mexico,Japan,4055.836
Mexico,United States of America,327357.934
Mexico,Brazil,3681.278
Mexico,India,3338.505
